channel,spend,revenue,impressions,clicks,conversions,ctr,roas
Snapchat,2672,15035.82,439440,37032,3999,8.43,5.63
Instagram,3984,8355.95,249090,38157,3065,15.32,2.1
TikTok,1631,4281.12,65285,42404,4568,64.95,2.62
Google,3767,20078.06,325181,10998,4380,3.38,5.33
YouTube,1731,10131.84,15174,13738,4422,90.54,5.85
Instagram,2444,9010.3,189944,26757,3587,14.09,3.69
LinkedIn,2206,11488.87,247191,37431,3075,15.14,5.21
LinkedIn,2748,5566.73,254791,26395,1951,10.36,2.03
Meta,3042,16276.57,396722,35836,1469,9.03,5.35
Email,615,3048.19,268749,17202,3446,6.4,4.96
Twitter,1044,6142.62,371125,40046,4409,10.79,5.88
Google,4188,9304.72,199622,11314,3730,5.67,2.22
Snapchat,2665,7175.15,401939,23480,94,5.84,2.69
Pinterest,544,2679.5,26640,30149,3580,113.17,4.93
Google,2093,5821.0,284140,7678,4686,2.7,2.78
Google,1282,6083.87,52398,35530,2358,67.81,4.75
Google,4232,13271.2,38801,33758,86,87.0,3.14
LinkedIn,3133,8046.94,401360,19365,1337,4.82,2.57
Email,2540,13978.61,318358,39039,1778,12.26,5.5
YouTube,1395,7490.43,334937,26387,1261,7.88,5.37
YouTube,1194,2576.65,24893,33345,1215,133.95,2.16
Pinterest,3440,9675.29,288414,49242,1182,17.07,2.81
LinkedIn,3992,9603.28,131617,1326,4652,1.01,2.41
TikTok,2954,6532.77,76882,7978,1791,10.38,2.21
Instagram,4316,14548.75,305578,7174,3804,2.35,3.37
Twitter,1559,4739.23,213799,16137,1813,7.55,3.04
TikTok,656,2379.47,472576,31678,1744,6.7,3.63
YouTube,2245,11478.17,251735,22505,1929,8.94,5.11
LinkedIn,3309,6897.5,70838,48110,3965,67.92,2.08
TikTok,3665,8522.38,335805,49733,3555,14.81,2.33
TikTok,2239,5154.6,256366,5367,1654,2.09,2.3
Email,3640,21552.26,31189,35276,3973,113.1,5.92
Email,2161,4420.62,330418,29689,230,8.99,2.05
Meta,1981,5059.03,304692,28111,670,9.23,2.55
Google,2031,5950.23,244444,40308,4356,16.49,2.93
Twitter,3130,7853.32,183685,13249,2901,7.21,2.51
Instagram,3270,16864.74,37813,21658,3230,57.28,5.16
YouTube,2700,7509.51,51177,23742,1311,46.39,2.78
TikTok,2419,5856.37,12589,15747,4055,125.09,2.42
LinkedIn,2322,6851.44,74777,28178,1219,37.68,2.95
Email,3305,13418.72,176421,26743,68,15.16,4.06
TikTok,2591,13529.87,339479,10898,4374,3.21,5.22
Instagram,2262,11186.66,275229,12728,2367,4.62,4.95
YouTube,1723,4439.18,274419,46123,4284,16.81,2.58
Email,2449,11637.61,379125,37287,335,9.84,4.75
Snapchat,3267,18528.49,431195,16427,942,3.81,5.67
Instagram,3274,11518.37,195508,30631,460,15.67,3.52
TikTok,927,4473.1,378653,23701,2862,6.26,4.83
Instagram,4956,19713.24,131133,29394,1136,22.42,3.98
Instagram,4333,22577.9,440252,48299,4160,10.97,5.21
LinkedIn,680,3258.37,428751,7378,1113,1.72,4.79
Google,721,2736.55,316957,14945,3123,4.72,3.8
Google,1360,6673.64,449077,14977,1098,3.34,4.91
Twitter,4342,16954.14,265747,44322,1055,16.68,3.9
TikTok,857,2381.07,414183,11062,3544,2.67,2.78
YouTube,4473,10577.12,57676,45435,4765,78.78,2.36
Instagram,4625,18141.67,21060,24308,604,115.42,3.92
Twitter,4371,10668.66,244408,44713,1459,18.29,2.44
Twitter,3113,10707.42,134998,17996,2474,13.33,3.44
YouTube,1473,7650.32,253098,43709,3962,17.27,5.19
YouTube,1927,8111.53,114936,2381,396,2.07,4.21
Meta,1177,3675.74,249494,19825,1288,7.95,3.12
TikTok,3354,6994.89,466135,32072,1310,6.88,2.09
Snapchat,4942,18148.26,458235,31548,4576,6.88,3.67
Instagram,3563,14281.96,466126,3638,205,0.78,4.01
Snapchat,881,4834.83,126026,6625,2845,5.26,5.49
Pinterest,966,4914.13,66793,43591,3002,65.26,5.09
Snapchat,4089,8404.72,157036,49344,1053,31.42,2.06
Meta,1555,4239.13,99590,46429,3553,46.62,2.73
LinkedIn,4928,9990.99,377840,44735,4507,11.84,2.03
Google,1183,2933.81,233486,5754,2432,2.46,2.48
Pinterest,3831,15070.45,168729,47964,4260,28.43,3.93
Google,2474,9021.56,265145,19680,323,7.42,3.65
Pinterest,3330,9586.67,441856,35085,3580,7.94,2.88
TikTok,664,3619.66,494501,45755,2138,9.25,5.45
LinkedIn,2343,8044.4,125620,11797,437,9.39,3.43
Meta,3976,22425.2,150966,36493,395,24.17,5.64
Google,3228,13980.93,122581,21764,1225,17.75,4.33
YouTube,4419,11755.72,375988,36008,3689,9.58,2.66
Google,3015,16624.25,262139,3742,2584,1.43,5.51
Meta,2591,8586.94,99336,45846,3956,46.15,3.31
TikTok,1599,7046.54,339401,3222,3529,0.95,4.41
Snapchat,2229,10454.53,90961,24954,4212,27.43,4.69
Email,2500,9176.18,361949,22677,4379,6.27,3.67
Snapchat,1421,6821.69,273314,11603,4275,4.25,4.8
YouTube,1258,6750.27,286197,2342,3444,0.82,5.37
Snapchat,1386,4713.17,166471,35791,595,21.5,3.4
LinkedIn,4493,19643.57,227036,4695,774,2.07,4.37
Email,1314,6404.23,51029,22491,3498,44.07,4.87
TikTok,3839,16028.51,476559,19859,1184,4.17,4.18
Meta,4614,15936.99,384023,16780,1137,4.37,3.45
Email,2207,11845.33,367967,3026,420,0.82,5.37
Pinterest,4759,28539.42,31289,10396,3955,33.23,6.0
Snapchat,3854,9134.42,496982,13873,1983,2.79,2.37
LinkedIn,3109,13267.45,269899,24047,3489,8.91,4.27
Google,4106,15356.29,84007,39581,4282,47.12,3.74
Twitter,3900,16775.44,260575,14781,92,5.67,4.3
YouTube,3698,11779.65,257262,31615,3376,12.29,3.19
TikTok,4741,21521.67,275227,22019,4394,8.0,4.54
Meta,4898,27279.62,341020,42868,1454,12.57,5.57
Email,1715,6859.62,38423,6476,4768,16.85,4.0
TikTok,3768,12426.54,132117,13279,3832,10.05,3.3
Google,3179,15659.96,61960,20023,924,32.32,4.93
Instagram,2140,4709.44,43220,28551,1000,66.06,2.2
Instagram,4218,21400.78,175904,16244,1685,9.23,5.07
YouTube,3285,11555.09,277583,39143,1487,14.1,3.52
LinkedIn,824,3051.9,59043,13900,2252,23.54,3.7
Meta,1653,4725.2,277044,42850,4433,15.47,2.86
LinkedIn,2301,9321.55,231121,36882,3089,15.96,4.05
Instagram,610,2998.98,99269,45311,2741,45.64,4.92
LinkedIn,1544,6345.62,90480,31401,1767,34.7,4.11
Instagram,3262,12323.02,446664,17818,4104,3.99,3.78
Twitter,1745,7872.12,407084,49666,3405,12.2,4.51
Pinterest,4747,14338.26,392732,11497,2839,2.93,3.02
Pinterest,3640,15818.26,273869,35229,1447,12.86,4.35
Google,2041,5964.39,153984,34805,3584,22.6,2.92
Email,887,4253.72,413945,12185,4430,2.94,4.8
Google,2170,9741.92,217402,39461,3374,18.15,4.49
Instagram,2938,11998.84,197130,26788,1222,13.59,4.08
Email,4777,13619.18,138217,15676,1506,11.34,2.85
Twitter,3557,16432.58,138186,41110,1869,29.75,4.62
LinkedIn,958,4874.75,429977,47827,2034,11.12,5.09
Instagram,3547,17470.09,371823,9666,3931,2.6,4.93
Pinterest,1304,5607.54,204086,23106,3334,11.32,4.3
Meta,4158,14515.43,43443,13302,3452,30.62,3.49
LinkedIn,1403,7088.85,95407,45935,2357,48.15,5.05
Snapchat,1612,7179.4,139025,35024,1838,25.19,4.45
Meta,1249,7026.83,447096,25254,4401,5.65,5.63
Meta,1235,6677.77,479924,23817,2492,4.96,5.41
Snapchat,1744,8433.33,74928,29830,4604,39.81,4.84
Google,1630,5743.81,488951,49739,1389,10.17,3.52
YouTube,560,2709.5,199260,2939,104,1.47,4.84
Meta,1503,7054.05,216831,14607,1458,6.74,4.69
Snapchat,2430,6818.45,291493,9055,1222,3.11,2.81
Email,1482,8472.04,293892,9581,1822,3.26,5.72
Meta,1632,8338.04,134623,5095,791,3.78,5.11
TikTok,1809,8582.37,57045,32622,3392,57.19,4.74
Meta,2651,8635.53,132016,11085,4118,8.4,3.26
LinkedIn,1891,7451.67,87302,1881,1984,2.15,3.94
Snapchat,4122,15791.31,495541,42047,711,8.49,3.83
Meta,1063,3928.43,349430,24553,3246,7.03,3.7
Email,4069,8528.05,301751,2962,696,0.98,2.1
YouTube,4302,23990.09,171594,11207,63,6.53,5.58
YouTube,2852,8645.48,69927,39192,4063,56.05,3.03
Twitter,2360,13469.12,92856,17611,3963,18.97,5.71
YouTube,3538,18958.25,431826,31660,4697,7.33,5.36
Google,1192,5771.45,123074,33763,1908,27.43,4.84
YouTube,2196,6365.88,484850,15517,2564,3.2,2.9
Snapchat,797,3736.57,111340,9313,4706,8.36,4.69
Google,3305,12112.73,302547,4981,216,1.65,3.66
LinkedIn,1389,4634.56,258924,13876,3753,5.36,3.34
YouTube,3718,15174.6,464678,15571,181,3.35,4.08
YouTube,4494,12915.46,394510,16263,4412,4.12,2.87
Meta,3164,7190.55,215107,4440,729,2.06,2.27
LinkedIn,3128,18054.86,165207,35514,1599,21.5,5.77
LinkedIn,1782,7010.16,330638,42371,3776,12.81,3.93
Google,2140,12820.42,134294,21356,4932,15.9,5.99
Email,4558,22327.42,369911,19297,1977,5.22,4.9
Meta,4890,18775.99,155485,16114,2752,10.36,3.84
Instagram,3341,16481.73,449623,2530,3129,0.56,4.93
Google,4979,21616.96,122914,48315,3933,39.31,4.34
Twitter,722,2109.13,227148,4286,4620,1.89,2.92
Email,1455,8532.99,245135,30315,2075,12.37,5.86
Email,4474,25604.01,152116,25955,895,17.06,5.72
Snapchat,1112,4629.35,433117,43348,1281,10.01,4.16
Email,3417,17239.51,458147,49579,121,10.82,5.05
Snapchat,4805,25586.38,475752,12108,544,2.55,5.32
Google,3678,21707.55,489749,42547,316,8.69,5.9
Snapchat,3065,18193.12,193777,30455,179,15.72,5.94
YouTube,4961,24239.93,288097,9051,116,3.14,4.89
TikTok,1141,6247.99,259178,19623,1392,7.57,5.48
YouTube,898,1861.19,11647,4192,2583,35.99,2.07
Snapchat,2691,7362.0,446851,3919,1195,0.88,2.74
Instagram,2766,14739.9,308445,41749,2426,13.54,5.33
Google,3171,18057.41,274273,10401,1718,3.79,5.69
LinkedIn,763,2837.7,213091,33904,1143,15.91,3.72
YouTube,1712,9301.33,352824,19434,3722,5.51,5.43
LinkedIn,3069,12566.38,490889,8368,2619,1.7,4.09
Instagram,982,2596.82,67702,49371,3113,72.92,2.64
Email,559,1156.8,44110,2541,683,5.76,2.07
Instagram,3736,13731.99,184322,2265,4237,1.23,3.68
LinkedIn,1754,6307.85,95689,23279,1023,24.33,3.6
Twitter,1544,4999.22,388640,37600,439,9.67,3.24
Instagram,1038,6033.15,137890,22143,2206,16.06,5.81
Email,1538,5915.76,235844,44822,1769,19.0,3.85
Twitter,2585,15416.2,130311,22113,2821,16.97,5.96
Meta,4164,23987.95,59898,16948,127,28.29,5.76
LinkedIn,721,3241.43,313823,28385,3365,9.04,4.5
LinkedIn,3032,15346.69,434016,21035,3394,4.85,5.06
YouTube,1498,7996.07,233832,14402,4413,6.16,5.34
Twitter,885,1888.69,114006,14191,388,12.45,2.13
LinkedIn,2042,8354.71,89931,28830,3314,32.06,4.09
Meta,4922,24749.95,301788,27900,463,9.24,5.03
Email,1321,7336.87,150306,3030,1808,2.02,5.55
Meta,1594,4892.64,365044,46677,1583,12.79,3.07
Instagram,1953,9915.79,265712,20099,2998,7.56,5.08
Email,1681,9813.13,66194,21465,3853,32.43,5.84
Meta,735,2598.2,59215,17093,1538,28.87,3.53
Instagram,916,2795.07,100552,42477,2009,42.24,3.05
YouTube,2255,7957.15,466957,12264,4809,2.63,3.53
Pinterest,3379,12055.1,85024,22897,3297,26.93,3.57
Snapchat,3602,17121.6,106218,3243,1398,3.05,4.75
Twitter,2256,5350.79,283146,29434,1561,10.4,2.37
TikTok,2575,15398.71,270005,5019,329,1.86,5.98
LinkedIn,3810,18737.4,131872,44033,2422,33.39,4.92
Pinterest,2633,10542.95,285652,40818,4053,14.29,4.0
Email,3242,19166.68,443467,23669,2613,5.34,5.91
Snapchat,3300,9480.16,384516,19280,3050,5.01,2.87
LinkedIn,877,3099.72,443082,18171,532,4.1,3.53
Google,3453,20682.57,14679,48126,3691,327.86,5.99
Twitter,4230,18915.38,383733,18737,3836,4.88,4.47
Twitter,995,5124.17,423710,39584,2933,9.34,5.15
LinkedIn,4344,10259.57,237310,31502,796,13.27,2.36
Meta,1368,3395.01,237650,2880,3945,1.21,2.48
LinkedIn,4687,19761.65,149120,25373,2944,17.02,4.22
YouTube,2723,5497.61,357284,39978,4907,11.19,2.02
Google,1168,2739.81,307262,47914,1527,15.59,2.35
Pinterest,2704,7446.21,224588,17395,2559,7.75,2.75
Email,1179,4782.6,36644,45984,849,125.49,4.06
Snapchat,2271,13510.51,203956,33353,2386,16.35,5.95
Google,4364,23732.83,452074,31111,1747,6.88,5.44
Pinterest,3267,17511.31,262698,4594,1033,1.75,5.36
Snapchat,2603,12034.25,265447,37229,174,14.03,4.62
YouTube,3157,15136.46,417433,36555,2856,8.76,4.79
YouTube,3789,12494.68,337833,19417,1959,5.75,3.3
Email,4535,26061.04,390009,26404,4898,6.77,5.75
Instagram,1808,4432.59,277716,5685,3085,2.05,2.45
Pinterest,2608,7252.25,455367,17390,3508,3.82,2.78
Google,1321,6397.97,185590,48382,2558,26.07,4.84
YouTube,2997,11799.44,435531,44580,2863,10.24,3.94
Instagram,2528,14709.44,458965,45006,4353,9.81,5.82
TikTok,1608,6459.78,44061,11681,1920,26.51,4.02
Twitter,1722,4731.11,174099,37881,497,21.76,2.75
Pinterest,3384,15538.61,95896,3932,1657,4.1,4.59
Email,3723,13010.16,259490,12938,90,4.99,3.49
Meta,749,1794.08,322105,21611,493,6.71,2.4
Meta,2047,7290.47,129327,24752,2295,19.14,3.56
Pinterest,1438,7455.01,497580,23405,3724,4.7,5.18
Email,2030,8359.58,267623,33503,2458,12.52,4.12
Meta,2511,6474.64,449371,31468,2558,7.0,2.58
YouTube,3261,14612.91,498500,40550,1495,8.13,4.48
Pinterest,1943,7649.13,336915,12968,3651,3.85,3.94
Pinterest,1248,4801.9,422047,15111,2348,3.58,3.85
Meta,729,3738.08,120442,14951,1912,12.41,5.13
Email,1080,5918.56,135006,36308,4662,26.89,5.48
Meta,3486,16717.77,137089,49785,1492,36.32,4.8
Meta,2957,7403.29,431428,24552,112,5.69,2.5
LinkedIn,2303,10612.96,19941,16334,3096,81.91,4.61
Meta,1694,5772.25,11679,9611,3410,82.29,3.41
Instagram,2857,16895.59,335605,20331,516,6.06,5.91
Pinterest,4125,9260.75,254903,11206,523,4.4,2.25
LinkedIn,1219,4595.18,471047,19902,4440,4.23,3.77
Snapchat,3343,17716.17,425245,45987,3699,10.81,5.3
Meta,1027,6062.08,255305,40837,3284,16.0,5.9
Instagram,714,3711.4,224775,41054,2627,18.26,5.2
Email,2177,4721.67,23983,34218,2214,142.68,2.17
Email,1683,8304.23,331114,22051,747,6.66,4.93
Email,4444,10093.46,151691,48649,3871,32.07,2.27
LinkedIn,1427,7782.64,34172,3559,2759,10.41,5.45
Google,2146,12646.09,289425,23554,3312,8.14,5.89
Google,629,1950.51,222147,25307,1619,11.39,3.1
Twitter,4653,25331.39,82643,17726,3531,21.45,5.44
Twitter,1027,4374.34,21020,38950,3744,185.3,4.26
Twitter,2030,5222.64,452938,17352,3709,3.83,2.57
LinkedIn,1056,6222.53,299678,31368,195,10.47,5.89
Snapchat,1181,6145.33,435430,7383,754,1.7,5.2
Pinterest,2545,9949.57,421043,22849,4333,5.43,3.91
Pinterest,4108,12137.87,456574,47547,4739,10.41,2.95
LinkedIn,3106,12211.99,304756,33406,1017,10.96,3.93
Meta,4438,22505.49,476819,6392,3230,1.34,5.07
Instagram,2808,14183.19,200980,13691,4256,6.81,5.05
Snapchat,728,3099.85,114151,22456,1041,19.67,4.26
Snapchat,3747,16246.03,478202,40803,3004,8.53,4.34
Meta,2422,4947.29,389515,14812,4018,3.8,2.04
Meta,540,1413.38,212782,49737,1854,23.37,2.62
Instagram,3231,18995.93,97061,27801,3517,28.64,5.88
Twitter,4816,19660.03,377193,39679,4486,10.52,4.08
Snapchat,2167,8875.75,426575,49325,1761,11.56,4.1
Google,1483,3521.76,190583,27549,839,14.46,2.37
Google,4454,12392.2,476785,38674,4473,8.11,2.78
Meta,4095,11729.21,422158,38845,1987,9.2,2.86
Google,4315,24296.47,36861,41924,4169,113.74,5.63
Email,1997,8534.25,368099,44456,1523,12.08,4.27
LinkedIn,4418,17612.7,228000,21994,2823,9.65,3.99
Meta,4217,20334.43,108236,32019,2629,29.58,4.82
Twitter,3867,22643.58,411249,45926,611,11.17,5.86
Pinterest,2078,6621.98,51717,8572,3791,16.57,3.19
Email,2062,5430.9,137072,49835,2712,36.36,2.63
Meta,4829,11378.36,72195,4352,4162,6.03,2.36
Email,2968,12963.22,101412,38121,509,37.59,4.37
Twitter,3094,17672.08,192675,45694,1929,23.72,5.71
Twitter,3743,16998.43,410506,5115,3720,1.25,4.54
LinkedIn,2912,8374.26,340007,37081,2283,10.91,2.88
Email,4651,13355.84,164058,9285,4194,5.66,2.87
LinkedIn,2028,7500.17,303845,5636,1536,1.85,3.7
Meta,2596,9637.35,128974,17604,2795,13.65,3.71
Snapchat,2696,6356.27,293852,41008,4212,13.96,2.36
YouTube,3667,16049.95,242346,27215,2029,11.23,4.38
Meta,4946,24335.89,328452,5156,2126,1.57,4.92
TikTok,743,2205.34,372751,8827,3678,2.37,2.97
Pinterest,4738,12500.5,14389,12381,4644,86.04,2.64
Meta,4074,14084.58,499747,29739,3437,5.95,3.46
Pinterest,4162,17526.68,38710,39477,4366,101.98,4.21
Instagram,2024,9180.44,199526,37621,1557,18.86,4.54
Meta,2267,13484.89,382537,49473,178,12.93,5.95
Snapchat,1554,5648.8,50600,9301,995,18.38,3.64
Instagram,4572,26712.88,344445,40620,221,11.79,5.84
Instagram,4033,23585.47,421371,41561,1846,9.86,5.85
TikTok,1902,10065.33,440446,6254,4333,1.42,5.29
Snapchat,1883,7664.34,102852,9478,4755,9.22,4.07
YouTube,1595,6772.41,339824,18438,1386,5.43,4.25
Pinterest,2658,11620.06,48436,43665,1001,90.15,4.37
LinkedIn,3401,8640.28,383048,21004,3001,5.48,2.54
Google,3110,15819.23,361053,18739,1224,5.19,5.09
Meta,1367,6386.01,394750,17790,3530,4.51,4.67
TikTok,2237,7892.73,26200,4648,1155,17.74,3.53
TikTok,3591,11389.13,152235,8819,3686,5.79,3.17
Instagram,672,3837.59,48384,9732,1273,20.11,5.71
Snapchat,3990,23548.09,438433,31497,4590,7.18,5.9
Google,1151,6824.54,430092,4746,4255,1.1,5.93
LinkedIn,3636,11268.36,243321,29883,65,12.28,3.1
Instagram,993,3344.96,151125,30476,2906,20.17,3.37
LinkedIn,1197,5349.64,264150,16308,620,6.17,4.47
YouTube,1937,10845.51,135028,36980,982,27.39,5.6
Google,1058,2892.98,58049,21467,3294,36.98,2.73
LinkedIn,4031,20174.24,277876,44291,1437,15.94,5.0
Twitter,4004,19588.94,343225,33673,3060,9.81,4.89
Email,3140,8699.6,454831,30171,520,6.63,2.77
Google,1280,5027.27,370850,24452,3950,6.59,3.93
Meta,2108,8046.78,230902,47337,3732,20.5,3.82
YouTube,1179,3472.45,372437,18831,2466,5.06,2.95
Google,1919,4699.63,393449,32140,1969,8.17,2.45
Twitter,1421,4892.96,128811,42279,1529,32.82,3.44
LinkedIn,1537,8425.21,355538,41188,4625,11.58,5.48
LinkedIn,574,3193.04,457190,38958,1186,8.52,5.56
Google,4468,20026.21,167886,40806,872,24.31,4.48
Email,4018,18636.05,77361,35030,4952,45.28,4.64
YouTube,3380,6826.1,347569,45958,3581,13.22,2.02
LinkedIn,2030,4139.49,482746,29112,4600,6.03,2.04
Email,1524,7473.3,46276,42600,4882,92.06,4.9
Snapchat,1764,9795.88,380531,46759,4923,12.29,5.55
Snapchat,515,2802.87,260007,25726,4044,9.89,5.44
Pinterest,1064,2316.08,390112,13131,1988,3.37,2.18
Email,3076,13442.31,61414,36945,3998,60.16,4.37
Google,2978,13520.81,482373,2580,3215,0.53,4.54
LinkedIn,2609,9947.79,445308,11040,2867,2.48,3.81
Email,4518,20239.49,14195,4544,3611,32.01,4.48
LinkedIn,1106,3376.42,251715,9271,1315,3.68,3.05
Email,576,1631.37,22303,39743,1389,178.2,2.83
Meta,556,3016.52,349792,48763,4787,13.94,5.43
Snapchat,1030,5757.51,208247,22371,3384,10.74,5.59
Google,734,2818.83,365378,26483,2777,7.25,3.84
TikTok,1894,7149.22,127531,36498,3315,28.62,3.77
Google,4158,10860.19,410358,32952,2410,8.03,2.61
Email,564,1963.98,428340,43943,4179,10.26,3.48
Email,1068,4214.48,329843,14937,1223,4.53,3.95
TikTok,4488,26250.9,365619,5007,3127,1.37,5.85
Instagram,4106,20795.52,164743,24187,4893,14.68,5.06
Twitter,797,3621.28,95188,1707,4882,1.79,4.54
Instagram,1768,8917.37,229059,18183,3439,7.94,5.04
Pinterest,1196,3303.67,393298,49270,2839,12.53,2.76
Twitter,1992,7946.86,434642,25655,4328,5.9,3.99
YouTube,790,4630.67,402793,5382,4869,1.34,5.86
Pinterest,3848,8044.03,29309,38972,3394,132.97,2.09
Instagram,2563,12920.44,445024,14866,2999,3.34,5.04
LinkedIn,3130,15754.49,272352,26775,67,9.83,5.03
TikTok,2171,9765.23,65642,39861,1023,60.72,4.5
Instagram,3033,8522.7,411065,42367,1732,10.31,2.81
YouTube,3632,8512.57,468322,5857,1057,1.25,2.34
Meta,1916,8476.35,203816,6693,4596,3.28,4.42
Email,3455,19696.7,73431,11412,2575,15.54,5.7
Snapchat,1842,5269.8,373212,30729,2267,8.23,2.86
Meta,1702,4815.96,28121,25365,3884,90.2,2.83
Instagram,1922,10022.8,95037,35817,725,37.69,5.21
Meta,3786,20765.06,361244,26914,4841,7.45,5.48
Google,4778,19354.01,79150,20855,4646,26.35,4.05
YouTube,2434,12323.46,39166,33733,2153,86.13,5.06
Google,3923,10984.03,59457,29769,4382,50.07,2.8
LinkedIn,2276,11684.24,472823,27101,393,5.73,5.13
Instagram,1561,7795.81,71548,24601,2030,34.38,4.99
Snapchat,3086,9739.55,147603,35348,4579,23.95,3.16
TikTok,4438,19378.78,201360,22008,4070,10.93,4.37
Snapchat,1178,6510.18,369015,6746,654,1.83,5.53
Instagram,1996,8288.93,412206,37894,1137,9.19,4.15
TikTok,834,4306.54,208777,18345,2092,8.79,5.16
Email,3637,21256.22,107605,45899,647,42.66,5.84
TikTok,3736,12369.49,464538,20374,2678,4.39,3.31
TikTok,4559,16090.16,396320,1917,1569,0.48,3.53
Instagram,1239,7391.5,60643,32445,1855,53.5,5.97
Meta,1963,9883.2,137755,32864,4554,23.86,5.03
TikTok,1858,10748.99,430254,16692,2195,3.88,5.79
Google,721,3763.25,338505,40603,3908,11.99,5.22
Instagram,3083,7386.16,305182,31505,1524,10.32,2.4
Meta,2444,6704.93,55972,27341,1001,48.85,2.74
Pinterest,4690,12466.65,367242,39669,4937,10.8,2.66
Pinterest,4302,13715.55,244375,8357,3484,3.42,3.19
Twitter,4320,21496.63,307862,30631,1868,9.95,4.98
Meta,2706,8914.8,312043,32198,4845,10.32,3.29
YouTube,4219,8762.16,205189,46073,4898,22.45,2.08
Email,3319,10255.46,244378,45347,1520,18.56,3.09
Google,2581,9898.46,430878,38116,2202,8.85,3.84
Instagram,4757,20135.78,411246,11553,1543,2.81,4.23
Instagram,4207,13465.75,155158,49415,4677,31.85,3.2
Google,3267,10218.37,360493,22625,858,6.28,3.13
LinkedIn,3342,6791.33,441657,47887,1079,10.84,2.03
Google,1131,4158.59,147501,4672,1699,3.17,3.68
Snapchat,3612,13028.69,379628,22415,343,5.9,3.61
Email,609,2662.85,132140,32939,2488,24.93,4.37
TikTok,777,4223.96,148346,15183,1713,10.23,5.44
Meta,3078,7350.6,398749,40491,4577,10.15,2.39
Meta,3214,7056.56,417443,6681,1212,1.6,2.2
Instagram,1970,7022.82,350131,46646,3415,13.32,3.56
Pinterest,2169,6407.8,311234,7466,2228,2.4,2.95
Pinterest,4136,12695.91,259890,47617,4129,18.32,3.07
LinkedIn,3200,14848.8,136948,39916,4557,29.15,4.64
Twitter,3725,16319.0,426912,28548,3919,6.69,4.38
Snapchat,4551,16167.94,226096,48477,1845,21.44,3.55
Instagram,2464,6857.59,147600,15879,2407,10.76,2.78
Meta,4494,12047.7,166889,46148,4035,27.65,2.68
Meta,941,4486.28,413402,22955,2275,5.55,4.77
Instagram,723,1748.26,385393,46639,1401,12.1,2.42
Twitter,1110,3340.73,326653,12990,2413,3.98,3.01
Snapchat,2265,12685.44,400404,36393,4982,9.09,5.6
Email,605,3048.08,139135,46614,4562,33.5,5.04
Twitter,1993,10170.78,191161,25436,3807,13.31,5.1
Google,1005,4142.83,98590,1503,1373,1.52,4.12
Twitter,1606,6194.33,17006,31390,1175,184.58,3.86
Meta,2749,15003.32,54696,24205,3534,44.25,5.46
YouTube,3324,19742.72,97262,13836,3452,14.23,5.94
Snapchat,736,2237.63,460725,37781,732,8.2,3.04
TikTok,2689,7766.37,472854,32440,580,6.86,2.89
Twitter,3047,13467.24,47141,32683,4657,69.33,4.42
YouTube,4393,20064.08,452489,44894,4465,9.92,4.57
LinkedIn,3894,22780.67,451722,12184,404,2.7,5.85
TikTok,645,1988.77,165637,6122,4225,3.7,3.08
Snapchat,974,5438.35,475881,36449,754,7.66,5.58
Google,3315,19375.02,119469,9441,3238,7.9,5.84
Instagram,3916,21717.87,346053,49044,762,14.17,5.55
Instagram,3484,14283.33,264187,8616,4589,3.26,4.1
Pinterest,3240,8823.54,466589,45482,3550,9.75,2.72
Pinterest,1584,3469.87,57093,31132,1701,54.53,2.19
LinkedIn,4432,19159.19,115988,5258,3117,4.53,4.32
Google,4901,28271.57,43470,17533,103,40.33,5.77
Email,2722,9106.7,224637,14641,3252,6.52,3.35
Email,4123,19001.05,376648,37420,2689,9.94,4.61
Meta,1454,5359.17,386145,25096,4840,6.5,3.69
LinkedIn,4388,18351.74,480641,6227,1369,1.3,4.18
Google,3425,7606.56,263698,26018,4725,9.87,2.22
Twitter,2281,11931.52,270280,43181,944,15.98,5.23
Google,3739,17856.05,204009,42959,4336,21.06,4.78
Email,4816,18342.14,141200,36709,2833,26.0,3.81
LinkedIn,730,2647.68,305213,40708,1995,13.34,3.63
TikTok,2596,14224.08,56160,32318,3947,57.55,5.48
Instagram,1334,7382.97,342792,20228,801,5.9,5.53
TikTok,1497,8640.94,130551,23242,2194,17.8,5.77
YouTube,3855,8364.19,479849,10487,3130,2.19,2.17
LinkedIn,2831,5761.15,197876,25750,2532,13.01,2.04
YouTube,3890,20410.78,40804,17763,2993,43.53,5.25
TikTok,883,4019.67,347708,30545,818,8.78,4.55
Email,4884,13667.95,37453,33689,344,89.95,2.8
YouTube,987,5720.96,267650,35706,1609,13.34,5.8
Instagram,4191,15264.59,93762,45419,2987,48.44,3.64
Instagram,1438,3019.26,414314,5046,4765,1.22,2.1
Twitter,1327,3708.62,109472,23603,3629,21.56,2.79
YouTube,4731,17711.23,91387,22562,101,24.69,3.74
Snapchat,1668,7914.67,439419,32386,957,7.37,4.75
Instagram,3310,16349.31,23083,6590,4454,28.55,4.94
YouTube,3948,14286.05,367223,42883,3272,11.68,3.62
Meta,1533,6983.29,124383,4571,3244,3.67,4.56
TikTok,2521,6224.22,221650,40344,4410,18.2,2.47
LinkedIn,1948,8691.47,221653,8979,4276,4.05,4.46
Instagram,893,4842.92,89933,28004,1689,31.14,5.42
